>GEOMETRY   rect_prism; AX,AY,AZ= 0.6276 0.6276 0.6276
     1054 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -0.08005 -0.00710 -0.15190 = lattice offset x0(1-3) = (x_TF, y_TF, z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
     1  1  1  1 1 1 1
     2  1  1  2 1 1 1
     3  1  1  3 1 1 1
     4  1  1  4 1 1 1
     5  1  1  5 1 1 1
     6  1  1  6 1 1 1
     7  1  1  7 1 1 1
     8  1  1  8 1 1 1
     9  1  1  9 1 1 1
     10  1  1  10 1 1 1
     11  1  1  11 1 1 1
     12  1  1  12 1 1 1
     13  1  1  13 1 1 1
     14  1  1  14 1 1 1
     15  1  1  15 1 1 1
     16  1  1  16 1 1 1
     17  1  1  17 1 1 1
     18  1  1  18 1 1 1
     19  1  1  19 1 1 1
     20  1  1  20 1 1 1
     21  1  1  21 1 1 1
     22  1  1  22 1 1 1
     23  1  1  23 1 1 1
     24  1  1  24 1 1 1
     25  1  1  25 1 1 1
     26  1  1  26 1 1 1
     27  1  1  27 1 1 1
     28  1  1  28 1 1 1
     29  1  1  29 1 1 1
     30  1  1  30 1 1 1
     31  1  1  31 1 1 1
     32  1  2  1 1 1 1
     33  1  2  2 1 1 1
     34  1  2  3 1 1 1
     35  1  2  4 1 1 1
     36  1  2  5 1 1 1
     37  1  2  6 1 1 1
     38  1  2  7 1 1 1
     39  1  2  8 1 1 1
     40  1  2  9 1 1 1
     41  1  2  10 1 1 1
     42  1  2  11 1 1 1
     43  1  2  12 1 1 1
     44  1  2  13 1 1 1
     45  1  2  14 1 1 1
     46  1  2  15 1 1 1
     47  1  2  16 1 1 1
     48  1  2  17 1 1 1
     49  1  2  18 1 1 1
     50  1  2  19 1 1 1
     51  1  2  20 1 1 1
     52  1  2  21 1 1 1
     53  1  2  22 1 1 1
     54  1  2  23 1 1 1
     55  1  2  24 1 1 1
     56  1  2  25 1 1 1
     57  1  2  26 1 1 1
     58  1  2  27 1 1 1
     59  1  2  28 1 1 1
     60  1  2  29 1 1 1
     61  1  2  30 1 1 1
     62  1  2  31 1 1 1
     63  2  1  1 1 1 1
     64  2  1  2 1 1 1
     65  2  1  3 1 1 1
     66  2  1  4 1 1 1
     67  2  1  5 1 1 1
     68  2  1  6 1 1 1
     69  2  1  7 1 1 1
     70  2  1  8 1 1 1
     71  2  1  9 1 1 1
     72  2  1  10 1 1 1
     73  2  1  11 1 1 1
     74  2  1  12 1 1 1
     75  2  1  13 1 1 1
     76  2  1  14 1 1 1
     77  2  1  15 1 1 1
     78  2  1  16 1 1 1
     79  2  1  17 1 1 1
     80  2  1  18 1 1 1
     81  2  1  19 1 1 1
     82  2  1  20 1 1 1
     83  2  1  21 1 1 1
     84  2  1  22 1 1 1
     85  2  1  23 1 1 1
     86  2  1  24 1 1 1
     87  2  1  25 1 1 1
     88  2  1  26 1 1 1
     89  2  1  27 1 1 1
     90  2  1  28 1 1 1
     91  2  1  29 1 1 1
     92  2  1  30 1 1 1
     93  2  1  31 1 1 1
     94  2  2  1 1 1 1
     95  2  2  2 1 1 1
     96  2  2  3 1 1 1
     97  2  2  4 1 1 1
     98  2  2  5 1 1 1
     99  2  2  6 1 1 1
     100  2  2  7 1 1 1
     101  2  2  8 1 1 1
     102  2  2  9 1 1 1
     103  2  2  10 1 1 1
     104  2  2  11 1 1 1
     105  2  2  12 1 1 1
     106  2  2  13 1 1 1
     107  2  2  14 1 1 1
     108  2  2  15 1 1 1
     109  2  2  16 1 1 1
     110  2  2  17 1 1 1
     111  2  2  18 1 1 1
     112  2  2  19 1 1 1
     113  2  2  20 1 1 1
     114  2  2  21 1 1 1
     115  2  2  22 1 1 1
     116  2  2  23 1 1 1
     117  2  2  24 1 1 1
     118  2  2  25 1 1 1
     119  2  2  26 1 1 1
     120  2  2  27 1 1 1
     121  2  2  28 1 1 1
     122  2  2  29 1 1 1
     123  2  2  30 1 1 1
     124  2  2  31 1 1 1
     125  3  1  1 1 1 1
     126  3  1  2 1 1 1
     127  3  1  3 1 1 1
     128  3  1  4 1 1 1
     129  3  1  5 1 1 1
     130  3  1  6 1 1 1
     131  3  1  7 1 1 1
     132  3  1  8 1 1 1
     133  3  1  9 1 1 1
     134  3  1  10 1 1 1
     135  3  1  11 1 1 1
     136  3  1  12 1 1 1
     137  3  1  13 1 1 1
     138  3  1  14 1 1 1
     139  3  1  15 1 1 1
     140  3  1  16 1 1 1
     141  3  1  17 1 1 1
     142  3  1  18 1 1 1
     143  3  1  19 1 1 1
     144  3  1  20 1 1 1
     145  3  1  21 1 1 1
     146  3  1  22 1 1 1
     147  3  1  23 1 1 1
     148  3  1  24 1 1 1
     149  3  1  25 1 1 1
     150  3  1  26 1 1 1
     151  3  1  27 1 1 1
     152  3  1  28 1 1 1
     153  3  1  29 1 1 1
     154  3  1  30 1 1 1
     155  3  1  31 1 1 1
     156  3  2  1 1 1 1
     157  3  2  2 1 1 1
     158  3  2  3 1 1 1
     159  3  2  4 1 1 1
     160  3  2  5 1 1 1
     161  3  2  6 1 1 1
     162  3  2  7 1 1 1
