 >REASHP: option FROM_FILE
      4560 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.18650  -0.04565  -0.05870 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
      1    1    1    1 1 1 1
      2    1    1    2 1 1 1
      3    1    1    3 1 1 1
      4    1    1    4 1 1 1
      5    1    1    5 1 1 1
      6    1    1    6 1 1 1
      7    1    1    7 1 1 1
      8    1    1    8 1 1 1
      9    1    1    9 1 1 1
     10    1    1   10 1 1 1
     11    1    1   11 1 1 1
     12    1    1   12 1 1 1
     13    1    2    1 1 1 1
     14    1    2    2 1 1 1
     15    1    2    3 1 1 1
     16    1    2    4 1 1 1
     17    1    2    5 1 1 1
     18    1    2    6 1 1 1
     19    1    2    7 1 1 1
     20    1    2    8 1 1 1
     21    1    2    9 1 1 1
     22    1    2   10 1 1 1
     23    1    2   11 1 1 1
     24    1    2   12 1 1 1
     25    1    3    1 1 1 1
     26    1    3    2 1 1 1
     27    1    3    3 1 1 1
     28    1    3    4 1 1 1
     29    1    3    5 1 1 1
     30    1    3    6 1 1 1
     31    1    3    7 1 1 1
     32    1    3    8 1 1 1
     33    1    3    9 1 1 1
     34    1    3   10 1 1 1
     35    1    3   11 1 1 1
     36    1    3   12 1 1 1
     37    1    4    1 1 1 1
     38    1    4    2 1 1 1
     39    1    4    3 1 1 1
     40    1    4    4 1 1 1
     41    1    4    5 1 1 1
     42    1    4    6 1 1 1
     43    1    4    7 1 1 1
     44    1    4    8 1 1 1
     45    1    4    9 1 1 1
     46    1    4   10 1 1 1
     47    1    4   11 1 1 1
     48    1    4   12 1 1 1
     49    1    5    1 1 1 1
     50    1    5    2 1 1 1
     51    1    5    3 1 1 1
     52    1    5    4 1 1 1
     53    1    5    5 1 1 1
     54    1    5    6 1 1 1
     55    1    5    7 1 1 1
     56    1    5    8 1 1 1
     57    1    5    9 1 1 1
     58    1    5   10 1 1 1
     59    1    5   11 1 1 1
     60    1    5   12 1 1 1
     61    1    6    1 1 1 1
     62    1    6    2 1 1 1
     63    1    6    3 1 1 1
     64    1    6    4 1 1 1
     65    1    6    5 1 1 1
     66    1    6    6 1 1 1
     67    1    6    7 1 1 1
     68    1    6    8 1 1 1
     69    1    6    9 1 1 1
     70    1    6   10 1 1 1
     71    1    6   11 1 1 1
     72    1    6   12 1 1 1
     73    1    7    1 1 1 1
     74    1    7    2 1 1 1
     75    1    7    3 1 1 1
     76    1    7    4 1 1 1
     77    1    7    5 1 1 1
     78    1    7    6 1 1 1
     79    1    7    7 1 1 1
     80    1    7    8 1 1 1
     81    1    7    9 1 1 1
     82    1    7   10 1 1 1
     83    1    7   11 1 1 1
     84    1    7   12 1 1 1
     85    1    8    1 1 1 1
     86    1    8    2 1 1 1
     87    1    8    3 1 1 1
     88    1    8    4 1 1 1
     89    1    8    5 1 1 1
     90    1    8    6 1 1 1
     91    1    8    7 1 1 1
     92    1    8    8 1 1 1
     93    1    8    9 1 1 1
     94    1    8   10 1 1 1
     95    1    8   11 1 1 1
     96    1    8   12 1 1 1
     97    1    9    1 1 1 1
     98    1    9    2 1 1 1
     99    1    9    3 1 1 1
    100    1    9    4 1 1 1
    101    1    9    5 1 1 1
    102    1    9    6 1 1 1
    103    1    9    7 1 1 1
    104    1    9    8 1 1 1
    105    1    9    9 1 1 1
    106    1    9   10 1 1 1
    107    1    9   11 1 1 1
    108    1    9   12 1 1 1
    109    1   10    1 1 1 1
    110    1   10    2 1 1 1
    111    1   10    3 1 1 1
    112    1   10    4 1 1 1
    113    1   10    5 1 1 1
    114    1   10    6 1 1 1
    115    1   10    7 1 1 1
    116    1   10    8 1 1 1
    117    1   10    9 1 1 1
    118    1   10   10 1 1 1
    119    1   10   11 1 1 1
    120    1   10   12 1 1 1
    121    2    1    1 1 1 1
    122    2    1    2 1 1 1
    123    2    1    3 1 1 1
    124    2    1    4 1 1 1
    125    2    1    5 1 1 1
    126    2    1    6 1 1 1
    127    2    1    7 1 1 1
    128    2    1    8 1 1 1
    129    2    1    9 1 1 1
    130    2    1   10 1 1 1
    131    2    1   11 1 1 1
    132    2    1   12 1 1 1
    133    2    2    1 1 1 1
    134    2    2    2 1 1 1
    135    2    2    3 1 1 1
    136    2    2    4 1 1 1
    137    2    2    5 1 1 1
    138    2    2    6 1 1 1
    139    2    2    7 1 1 1
    140    2    2    8 1 1 1
    141    2    2    9 1 1 1
    142    2    2   10 1 1 1
    143    2    2   11 1 1 1
    144    2    2   12 1 1 1
    145    2    3    1 1 1 1
    146    2    3    2 1 1 1
    147    2    3    3 1 1 1
    148    2    3    4 1 1 1
    149    2    3    5 1 1 1
    150    2    3    6 1 1 1
    151    2    3    7 1 1 1
    152    2    3    8 1 1 1
    153    2    3    9 1 1 1
    154    2    3   10 1 1 1
    155    2    3   11 1 1 1
    156    2    3   12 1 1 1
    157    2    4    1 1 1 1
    158    2    4    2 1 1 1
    159    2    4    3 1 1 1
    160    2    4    4 1 1 1
    161    2    4    5 1 1 1
    162    2    4    6 1 1 1
    163    2    4    7 1 1 1
    164    2    4    8 1 1 1
    165    2    4    9 1 1 1
    166    2    4   10 1 1 1
    167    2    4   11 1 1 1
    168    2    4   12 1 1 1
    169    2    5    1 1 1 1
    170    2    5    2 1 1 1
    171    2    5    3 1 1 1
    172    2    5    4 1 1 1
    173    2    5    5 1 1 1
    174    2    5    6 1 1 1
    175    2    5    7 1 1 1
    176    2    5    8 1 1 1
    177    2    5    9 1 1 1
    178    2    5   10 1 1 1
    179    2    5   11 1 1 1
    180    2    5   12 1 1 1
    181    2    6    1 1 1 1
    182    2    6    2 1 1 1
    183    2    6    3 1 1 1
    184    2    6    4 1 1 1
    185    2    6    5 1 1 1
    186    2    6    6 1 1 1
    187    2    6    7 1 1 1
    188    2    6    8 1 1 1
    189    2    6    9 1 1 1
    190    2    6   10 1 1 1
    191    2    6   11 1 1 1
    192    2    6   12 1 1 1
    193    2    7    1 1 1 1
    194    2    7    2 1 1 1
    195    2    7    3 1 1 1
    196    2    7    4 1 1 1
    197    2    7    5 1 1 1
    198    2    7    6 1 1 1
    199    2    7    7 1 1 1
    200    2    7    8 1 1 1
    201    2    7    9 1 1 1
    202    2    7   10 1 1 1
    203    2    7   11 1 1 1
    204    2    7   12 1 1 1
    205    2    8    1 1 1 1
    206    2    8    2 1 1 1
    207    2    8    3 1 1 1
    208    2    8    4 1 1 1
    209    2    8    5 1 1 1
    210    2    8    6 1 1 1
    211    2    8    7 1 1 1
    212    2    8    8 1 1 1
    213    2    8    9 1 1 1
    214    2    8   10 1 1 1
    215    2    8   11 1 1 1
    216    2    8   12 1 1 1
    217    2    9    1 1 1 1
    218    2    9    2 1 1 1
    219    2    9    3 1 1 1
    220    2    9    4 1 1 1
    221    2    9    5 1 1 1
    222    2    9    6 1 1 1
    223    2    9    7 1 1 1
    224    2    9    8 1 1 1
    225    2    9    9 1 1 1
    226    2    9   10 1 1 1
    227    2    9   11 1 1 1
    228    2    9   12 1 1 1
    229    2   10    1 1 1 1
    230    2   10    2 1 1 1
    231    2   10    3 1 1 1
    232    2   10    4 1 1 1
    233    2   10    5 1 1 1
    234    2   10    6 1 1 1
    235    2   10    7 1 1 1
    236    2   10    8 1 1 1
    237    2   10    9 1 1 1
    238    2   10   10 1 1 1
    239    2   10   11 1 1 1
    240    2   10   12 1 1 1
    241    3    1    1 1 1 1
    242    3    1    2 1 1 1
    243    3    1    3 1 1 1
    244    3    1    4 1 1 1
    245    3    1    5 1 1 1
    246    3    1    6 1 1 1
    247    3    1    7 1 1 1
    248    3    1    8 1 1 1
    249    3    1    9 1 1 1
    250    3    1   10 1 1 1
    251    3    1   11 1 1 1
    252    3    1   12 1 1 1
    253    3    2    1 1 1 1
    254    3    2    2 1 1 1
    255    3    2    3 1 1 1
    256    3    2    4 1 1 1
    257    3    2    5 1 1 1
    258    3    2    6 1 1 1
    259    3    2    7 1 1 1
    260    3    2    8 1 1 1
    261    3    2    9 1 1 1
    262    3    2   10 1 1 1
    263    3    2   11 1 1 1
    264    3    2   12 1 1 1
    265    3    3    1 1 1 1
    266    3    3    2 1 1 1
    267    3    3    3 1 1 1
    268    3    3    4 1 1 1
    269    3    3    5 1 1 1
    270    3    3    6 1 1 1
    271    3    3    7 1 1 1
    272    3    3    8 1 1 1
    273    3    3    9 1 1 1
    274    3    3   10 1 1 1
    275    3    3   11 1 1 1
    276    3    3   12 1 1 1
    277    3    4    1 1 1 1
    278    3    4    2 1 1 1
    279    3    4    3 1 1 1
    280    3    4    4 1 1 1
    281    3    4    5 1 1 1
    282    3    4    6 1 1 1
    283    3    4    7 1 1 1
    284    3    4    8 1 1 1
    285    3    4    9 1 1 1
    286    3    4   10 1 1 1
    287    3    4   11 1 1 1
    288    3    4   12 1 1 1
    289    3    5    1 1 1 1
    290    3    5    2 1 1 1
    291    3    5    3 1 1 1
    292    3    5    4 1 1 1
    293    3    5    5 1 1 1
    294    3    5    6 1 1 1
    295    3    5    7 1 1 1
    296    3    5    8 1 1 1
    297    3    5    9 1 1 1
    298    3    5   10 1 1 1
    299    3    5   11 1 1 1
    300    3    5   12 1 1 1
    301    3    6    1 1 1 1
    302    3    6    2 1 1 1
    303    3    6    3 1 1 1
    304    3    6    4 1 1 1
    305    3    6    5 1 1 1
    306    3    6    6 1 1 1
    307    3    6    7 1 1 1
    308    3    6    8 1 1 1
    309    3    6    9 1 1 1
    310    3    6   10 1 1 1
    311    3    6   11 1 1 1
    312    3    6   12 1 1 1
    313    3    7    1 1 1 1
    314    3    7    2 1 1 1
    315    3    7    3 1 1 1
    316    3    7    4 1 1 1
    317    3    7    5 1 1 1
    318    3    7    6 1 1 1
    319    3    7    7 1 1 1
    320    3    7    8 1 1 1
    321    3    7    9 1 1 1
    322    3    7   10 1 1 1
    323    3    7   11 1 1 1
    324    3    7   12 1 1 1
    325    3    8    1 1 1 1
    326    3    8    2 1 1 1
    327    3    8    3 1 1 1
    328    3    8    4 1 1 1
    329    3    8    5 1 1 1
    330    3    8    6 1 1 1
    331    3    8    7 1 1 1
