 >REASHP: option FROM_FILE
      9171 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.00000  -0.00000  -0.00000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
      1    1   14   14 1 1 1
      2    2    9   14 1 1 1
      3    2   10   11 1 1 1
      4    2   10   12 1 1 1
      5    2   10   13 1 1 1
      6    2   10   14 1 1 1
      7    2   10   15 1 1 1
      8    2   10   16 1 1 1
      9    2   10   17 1 1 1
     10    2   11   10 1 1 1
     11    2   11   11 1 1 1
     12    2   11   12 1 1 1
     13    2   11   13 1 1 1
     14    2   11   14 1 1 1
     15    2   11   15 1 1 1
     16    2   11   16 1 1 1
     17    2   11   17 1 1 1
     18    2   11   18 1 1 1
     19    2   12   10 1 1 1
     20    2   12   11 1 1 1
     21    2   12   12 1 1 1
     22    2   12   13 1 1 1
     23    2   12   14 1 1 1
     24    2   12   15 1 1 1
     25    2   12   16 1 1 1
     26    2   12   17 1 1 1
     27    2   12   18 1 1 1
     28    2   13   10 1 1 1
     29    2   13   11 1 1 1
     30    2   13   12 1 1 1
     31    2   13   13 1 1 1
     32    2   13   14 1 1 1
     33    2   13   15 1 1 1
     34    2   13   16 1 1 1
     35    2   13   17 1 1 1
     36    2   13   18 1 1 1
     37    2   14    9 1 1 1
     38    2   14   10 1 1 1
     39    2   14   11 1 1 1
     40    2   14   12 1 1 1
     41    2   14   13 1 1 1
     42    2   14   14 1 1 1
     43    2   14   15 1 1 1
     44    2   14   16 1 1 1
     45    2   14   17 1 1 1
     46    2   14   18 1 1 1
     47    2   14   19 1 1 1
     48    2   15   10 1 1 1
     49    2   15   11 1 1 1
     50    2   15   12 1 1 1
     51    2   15   13 1 1 1
     52    2   15   14 1 1 1
     53    2   15   15 1 1 1
     54    2   15   16 1 1 1
     55    2   15   17 1 1 1
     56    2   15   18 1 1 1
     57    2   16   10 1 1 1
     58    2   16   11 1 1 1
     59    2   16   12 1 1 1
     60    2   16   13 1 1 1
     61    2   16   14 1 1 1
     62    2   16   15 1 1 1
     63    2   16   16 1 1 1
     64    2   16   17 1 1 1
     65    2   16   18 1 1 1
     66    2   17   10 1 1 1
     67    2   17   11 1 1 1
     68    2   17   12 1 1 1
     69    2   17   13 1 1 1
     70    2   17   14 1 1 1
     71    2   17   15 1 1 1
     72    2   17   16 1 1 1
     73    2   17   17 1 1 1
     74    2   17   18 1 1 1
     75    2   18   11 1 1 1
     76    2   18   12 1 1 1
     77    2   18   13 1 1 1
     78    2   18   14 1 1 1
     79    2   18   15 1 1 1
     80    2   18   16 1 1 1
     81    2   18   17 1 1 1
     82    2   19   14 1 1 1
     83    3    8   11 1 1 1
     84    3    8   12 1 1 1
     85    3    8   13 1 1 1
     86    3    8   14 1 1 1
     87    3    8   15 1 1 1
     88    3    8   16 1 1 1
     89    3    8   17 1 1 1
     90    3    9   10 1 1 1
     91    3    9   11 1 1 1
     92    3    9   12 1 1 1
     93    3    9   13 1 1 1
     94    3    9   14 1 1 1
     95    3    9   15 1 1 1
     96    3    9   16 1 1 1
     97    3    9   17 1 1 1
     98    3    9   18 1 1 1
     99    3   10    9 1 1 1
    100    3   10   10 1 1 1
    101    3   10   11 1 1 1
    102    3   10   12 1 1 1
    103    3   10   13 1 1 1
    104    3   10   14 1 1 1
    105    3   10   15 1 1 1
    106    3   10   16 1 1 1
    107    3   10   17 1 1 1
    108    3   10   18 1 1 1
    109    3   10   19 1 1 1
    110    3   11    8 1 1 1
    111    3   11    9 1 1 1
    112    3   11   10 1 1 1
    113    3   11   11 1 1 1
    114    3   11   12 1 1 1
    115    3   11   13 1 1 1
    116    3   11   14 1 1 1
    117    3   11   15 1 1 1
    118    3   11   16 1 1 1
    119    3   11   17 1 1 1
    120    3   11   18 1 1 1
    121    3   11   19 1 1 1
    122    3   11   20 1 1 1
    123    3   12    8 1 1 1
    124    3   12    9 1 1 1
    125    3   12   10 1 1 1
    126    3   12   11 1 1 1
    127    3   12   12 1 1 1
    128    3   12   13 1 1 1
    129    3   12   14 1 1 1
    130    3   12   15 1 1 1
    131    3   12   16 1 1 1
    132    3   12   17 1 1 1
    133    3   12   18 1 1 1
    134    3   12   19 1 1 1
    135    3   12   20 1 1 1
    136    3   13    8 1 1 1
    137    3   13    9 1 1 1
    138    3   13   10 1 1 1
    139    3   13   11 1 1 1
    140    3   13   12 1 1 1
    141    3   13   13 1 1 1
    142    3   13   14 1 1 1
    143    3   13   15 1 1 1
    144    3   13   16 1 1 1
    145    3   13   17 1 1 1
    146    3   13   18 1 1 1
    147    3   13   19 1 1 1
    148    3   13   20 1 1 1
    149    3   14    8 1 1 1
    150    3   14    9 1 1 1
    151    3   14   10 1 1 1
    152    3   14   11 1 1 1
    153    3   14   12 1 1 1
    154    3   14   13 1 1 1
    155    3   14   14 1 1 1
    156    3   14   15 1 1 1
    157    3   14   16 1 1 1
    158    3   14   17 1 1 1
    159    3   14   18 1 1 1
    160    3   14   19 1 1 1
    161    3   14   20 1 1 1
    162    3   15    8 1 1 1
    163    3   15    9 1 1 1
    164    3   15   10 1 1 1
    165    3   15   11 1 1 1
    166    3   15   12 1 1 1
    167    3   15   13 1 1 1
    168    3   15   14 1 1 1
    169    3   15   15 1 1 1
    170    3   15   16 1 1 1
    171    3   15   17 1 1 1
    172    3   15   18 1 1 1
    173    3   15   19 1 1 1
    174    3   15   20 1 1 1
    175    3   16    8 1 1 1
    176    3   16    9 1 1 1
    177    3   16   10 1 1 1
    178    3   16   11 1 1 1
    179    3   16   12 1 1 1
    180    3   16   13 1 1 1
    181    3   16   14 1 1 1
    182    3   16   15 1 1 1
    183    3   16   16 1 1 1
    184    3   16   17 1 1 1
    185    3   16   18 1 1 1
    186    3   16   19 1 1 1
    187    3   16   20 1 1 1
    188    3   17    8 1 1 1
    189    3   17    9 1 1 1
    190    3   17   10 1 1 1
    191    3   17   11 1 1 1
    192    3   17   12 1 1 1
    193    3   17   13 1 1 1
    194    3   17   14 1 1 1
    195    3   17   15 1 1 1
    196    3   17   16 1 1 1
    197    3   17   17 1 1 1
    198    3   17   18 1 1 1
    199    3   17   19 1 1 1
    200    3   17   20 1 1 1
    201    3   18    9 1 1 1
    202    3   18   10 1 1 1
    203    3   18   11 1 1 1
    204    3   18   12 1 1 1
    205    3   18   13 1 1 1
    206    3   18   14 1 1 1
    207    3   18   15 1 1 1
    208    3   18   16 1 1 1
    209    3   18   17 1 1 1
    210    3   18   18 1 1 1
    211    3   18   19 1 1 1
    212    3   19   10 1 1 1
    213    3   19   11 1 1 1
    214    3   19   12 1 1 1
    215    3   19   13 1 1 1
    216    3   19   14 1 1 1
    217    3   19   15 1 1 1
    218    3   19   16 1 1 1
    219    3   19   17 1 1 1
    220    3   19   18 1 1 1
    221    3   20   11 1 1 1
    222    3   20   12 1 1 1
    223    3   20   13 1 1 1
    224    3   20   14 1 1 1
    225    3   20   15 1 1 1
    226    3   20   16 1 1 1
    227    3   20   17 1 1 1
    228    4    6   12 1 1 1
    229    4    6   13 1 1 1
    230    4    6   14 1 1 1
    231    4    6   15 1 1 1
    232    4    6   16 1 1 1
    233    4    7   10 1 1 1
    234    4    7   11 1 1 1
    235    4    7   12 1 1 1
    236    4    7   13 1 1 1
    237    4    7   14 1 1 1
    238    4    7   15 1 1 1
    239    4    7   16 1 1 1
    240    4    7   17 1 1 1
    241    4    7   18 1 1 1
    242    4    8    9 1 1 1
    243    4    8   10 1 1 1
    244    4    8   11 1 1 1
    245    4    8   12 1 1 1
    246    4    8   13 1 1 1
    247    4    8   14 1 1 1
    248    4    8   15 1 1 1
    249    4    8   16 1 1 1
    250    4    8   17 1 1 1
    251    4    8   18 1 1 1
    252    4    8   19 1 1 1
    253    4    9    8 1 1 1
    254    4    9    9 1 1 1
    255    4    9   10 1 1 1
    256    4    9   11 1 1 1
    257    4    9   12 1 1 1
    258    4    9   13 1 1 1
    259    4    9   14 1 1 1
    260    4    9   15 1 1 1
    261    4    9   16 1 1 1
    262    4    9   17 1 1 1
    263    4    9   18 1 1 1
    264    4    9   19 1 1 1
    265    4    9   20 1 1 1
    266    4   10    7 1 1 1
    267    4   10    8 1 1 1
    268    4   10    9 1 1 1
    269    4   10   10 1 1 1
    270    4   10   11 1 1 1
    271    4   10   12 1 1 1
    272    4   10   13 1 1 1
    273    4   10   14 1 1 1
    274    4   10   15 1 1 1
    275    4   10   16 1 1 1
    276    4   10   17 1 1 1
    277    4   10   18 1 1 1
    278    4   10   19 1 1 1
    279    4   10   20 1 1 1
    280    4   10   21 1 1 1
    281    4   11    7 1 1 1
    282    4   11    8 1 1 1
    283    4   11    9 1 1 1
    284    4   11   10 1 1 1
    285    4   11   11 1 1 1
    286    4   11   12 1 1 1
    287    4   11   13 1 1 1
    288    4   11   14 1 1 1
    289    4   11   15 1 1 1
    290    4   11   16 1 1 1
    291    4   11   17 1 1 1
    292    4   11   18 1 1 1
    293    4   11   19 1 1 1
    294    4   11   20 1 1 1
    295    4   11   21 1 1 1
    296    4   12    6 1 1 1
    297    4   12    7 1 1 1
    298    4   12    8 1 1 1
    299    4   12    9 1 1 1
    300    4   12   10 1 1 1
    301    4   12   11 1 1 1
    302    4   12   12 1 1 1
    303    4   12   13 1 1 1
    304    4   12   14 1 1 1
    305    4   12   15 1 1 1
    306    4   12   16 1 1 1
    307    4   12   17 1 1 1
    308    4   12   18 1 1 1
    309    4   12   19 1 1 1
    310    4   12   20 1 1 1
    311    4   12   21 1 1 1
    312    4   12   22 1 1 1
    313    4   13    6 1 1 1
    314    4   13    7 1 1 1
    315    4   13    8 1 1 1
    316    4   13    9 1 1 1
    317    4   13   10 1 1 1
    318    4   13   11 1 1 1
    319    4   13   12 1 1 1
    320    4   13   13 1 1 1
    321    4   13   14 1 1 1
    322    4   13   15 1 1 1
    323    4   13   16 1 1 1
    324    4   13   17 1 1 1
    325    4   13   18 1 1 1
    326    4   13   19 1 1 1
    327    4   13   20 1 1 1
    328    4   13   21 1 1 1
    329    4   13   22 1 1 1
    330    4   14    6 1 1 1
    331    4   14    7 1 1 1
    332    4   14    8 1 1 1
    333    4   14    9 1 1 1
    334    4   14   10 1 1 1
    335    4   14   11 1 1 1
    336    4   14   12 1 1 1
    337    4   14   13 1 1 1
    338    4   14   14 1 1 1
    339    4   14   15 1 1 1
    340    4   14   16 1 1 1
    341    4   14   17 1 1 1
    342    4   14   18 1 1 1
    343    4   14   19 1 1 1
    344    4   14   20 1 1 1
    345    4   14   21 1 1 1
    346    4   14   22 1 1 1
    347    4   15    6 1 1 1
    348    4   15    7 1 1 1
    349    4   15    8 1 1 1
    350    4   15    9 1 1 1
    351    4   15   10 1 1 1
    352    4   15   11 1 1 1
    353    4   15   12 1 1 1
    354    4   15   13 1 1 1
    355    4   15   14 1 1 1
    356    4   15   15 1 1 1
    357    4   15   16 1 1 1
    358    4   15   17 1 1 1
    359    4   15   18 1 1 1
    360    4   15   19 1 1 1
    361    4   15   20 1 1 1
    362    4   15   21 1 1 1
    363    4   15   22 1 1 1
    364    4   16    6 1 1 1
    365    4   16    7 1 1 1
    366    4   16    8 1 1 1
    367    4   16    9 1 1 1
    368    4   16   10 1 1 1
    369    4   16   11 1 1 1
    370    4   16   12 1 1 1
    371    4   16   13 1 1 1
    372    4   16   14 1 1 1
    373    4   16   15 1 1 1
