>GEOMETRY   rect_prism; AX,AY,AZ= 0.1000 0.1000 0.1000
     160 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -0.03500 -0.00500 -0.04500 = lattice offset x0(1-3) = (x_TF, y_TF, z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
     1  1  1  1 1 1 1
     2  1  1  2 1 1 1
     3  1  1  3 1 1 1
     4  1  1  4 1 1 1
     5  1  1  5 1 1 1
     6  1  1  6 1 1 1
     7  1  1  7 1 1 1
     8  1  1  8 1 1 1
     9  1  1  9 1 1 1
     10  1  1  10 1 1 1
     11  1  2  1 1 1 1
     12  1  2  2 1 1 1
     13  1  2  3 1 1 1
     14  1  2  4 1 1 1
     15  1  2  5 1 1 1
     16  1  2  6 1 1 1
     17  1  2  7 1 1 1
     18  1  2  8 1 1 1
     19  1  2  9 1 1 1
     20  1  2  10 1 1 1
     21  2  1  1 1 1 1
     22  2  1  2 1 1 1
     23  2  1  3 1 1 1
     24  2  1  4 1 1 1
     25  2  1  5 1 1 1
     26  2  1  6 1 1 1
     27  2  1  7 1 1 1
     28  2  1  8 1 1 1
     29  2  1  9 1 1 1
     30  2  1  10 1 1 1
     31  2  2  1 1 1 1
     32  2  2  2 1 1 1
     33  2  2  3 1 1 1
     34  2  2  4 1 1 1
     35  2  2  5 1 1 1
     36  2  2  6 1 1 1
     37  2  2  7 1 1 1
     38  2  2  8 1 1 1
     39  2  2  9 1 1 1
     40  2  2  10 1 1 1
     41  3  1  1 1 1 1
     42  3  1  2 1 1 1
     43  3  1  3 1 1 1
     44  3  1  4 1 1 1
     45  3  1  5 1 1 1
     46  3  1  6 1 1 1
     47  3  1  7 1 1 1
     48  3  1  8 1 1 1
     49  3  1  9 1 1 1
     50  3  1  10 1 1 1
     51  3  2  1 1 1 1
     52  3  2  2 1 1 1
     53  3  2  3 1 1 1
     54  3  2  4 1 1 1
     55  3  2  5 1 1 1
     56  3  2  6 1 1 1
     57  3  2  7 1 1 1
     58  3  2  8 1 1 1
     59  3  2  9 1 1 1
     60  3  2  10 1 1 1
     61  4  1  1 1 1 1
     62  4  1  2 1 1 1
     63  4  1  3 1 1 1
     64  4  1  4 1 1 1
     65  4  1  5 1 1 1
     66  4  1  6 1 1 1
     67  4  1  7 1 1 1
     68  4  1  8 1 1 1
     69  4  1  9 1 1 1
     70  4  1  10 1 1 1
     71  4  2  1 1 1 1
     72  4  2  2 1 1 1
     73  4  2  3 1 1 1
     74  4  2  4 1 1 1
     75  4  2  5 1 1 1
     76  4  2  6 1 1 1
     77  4  2  7 1 1 1
     78  4  2  8 1 1 1
     79  4  2  9 1 1 1
     80  4  2  10 1 1 1
     81  5  1  1 1 1 1
     82  5  1  2 1 1 1
     83  5  1  3 1 1 1
     84  5  1  4 1 1 1
     85  5  1  5 1 1 1
     86  5  1  6 1 1 1
     87  5  1  7 1 1 1
     88  5  1  8 1 1 1
     89  5  1  9 1 1 1
     90  5  1  10 1 1 1
     91  5  2  1 1 1 1
     92  5  2  2 1 1 1
     93  5  2  3 1 1 1
     94  5  2  4 1 1 1
     95  5  2  5 1 1 1
     96  5  2  6 1 1 1
     97  5  2  7 1 1 1
     98  5  2  8 1 1 1
     99  5  2  9 1 1 1
     100  5  2  10 1 1 1
     101  6  1  1 1 1 1
     102  6  1  2 1 1 1
     103  6  1  3 1 1 1
     104  6  1  4 1 1 1
     105  6  1  5 1 1 1
     106  6  1  6 1 1 1
     107  6  1  7 1 1 1
     108  6  1  8 1 1 1
     109  6  1  9 1 1 1
     110  6  1  10 1 1 1
     111  6  2  1 1 1 1
     112  6  2  2 1 1 1
     113  6  2  3 1 1 1
     114  6  2  4 1 1 1
     115  6  2  5 1 1 1
     116  6  2  6 1 1 1
     117  6  2  7 1 1 1
     118  6  2  8 1 1 1
     119  6  2  9 1 1 1
     120  6  2  10 1 1 1
     121  7  1  1 1 1 1
     122  7  1  2 1 1 1
     123  7  1  3 1 1 1
     124  7  1  4 1 1 1
     125  7  1  5 1 1 1
     126  7  1  6 1 1 1
     127  7  1  7 1 1 1
     128  7  1  8 1 1 1
     129  7  1  9 1 1 1
     130  7  1  10 1 1 1
     131  7  2  1 1 1 1
     132  7  2  2 1 1 1
     133  7  2  3 1 1 1
     134  7  2  4 1 1 1
     135  7  2  5 1 1 1
     136  7  2  6 1 1 1
     137  7  2  7 1 1 1
     138  7  2  8 1 1 1
     139  7  2  9 1 1 1
     140  7  2  10 1 1 1
     141  8  1  1 1 1 1
     142  8  1  2 1 1 1
     143  8  1  3 1 1 1
     144  8  1  4 1 1 1
     145  8  1  5 1 1 1
     146  8  1  6 1 1 1
     147  8  1  7 1 1 1
     148  8  1  8 1 1 1
     149  8  1  9 1 1 1
     150  8  1  10 1 1 1
     151  8  2  1 1 1 1
     152  8  2  2 1 1 1
     153  8  2  3 1 1 1
     154  8  2  4 1 1 1
     155  8  2  5 1 1 1
     156  8  2  6 1 1 1
     157  8  2  7 1 1 1
     158  8  2  8 1 1 1
     159  8  2  9 1 1 1
     160  8  2  10 1 1 1
