 >REASHP: option FROM_FILE
      6734 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.18175  -0.06170  -0.06670 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
      1    1    1    1 1 1 1
      2    1    1    2 1 1 1
      3    1    1    3 1 1 1
      4    1    1    4 1 1 1
      5    1    1    5 1 1 1
      6    1    1    6 1 1 1
      7    1    1    7 1 1 1
      8    1    1    8 1 1 1
      9    1    1    9 1 1 1
     10    1    1   10 1 1 1
     11    1    1   11 1 1 1
     12    1    1   12 1 1 1
     13    1    1   13 1 1 1
     14    1    1   14 1 1 1
     15    1    2    1 1 1 1
     16    1    2    2 1 1 1
     17    1    2    3 1 1 1
     18    1    2    4 1 1 1
     19    1    2    5 1 1 1
     20    1    2    6 1 1 1
     21    1    2    7 1 1 1
     22    1    2    8 1 1 1
     23    1    2    9 1 1 1
     24    1    2   10 1 1 1
     25    1    2   11 1 1 1
     26    1    2   12 1 1 1
     27    1    2   13 1 1 1
     28    1    2   14 1 1 1
     29    1    3    1 1 1 1
     30    1    3    2 1 1 1
     31    1    3    3 1 1 1
     32    1    3    4 1 1 1
     33    1    3    5 1 1 1
     34    1    3    6 1 1 1
     35    1    3    7 1 1 1
     36    1    3    8 1 1 1
     37    1    3    9 1 1 1
     38    1    3   10 1 1 1
     39    1    3   11 1 1 1
     40    1    3   12 1 1 1
     41    1    3   13 1 1 1
     42    1    3   14 1 1 1
     43    1    4    1 1 1 1
     44    1    4    2 1 1 1
     45    1    4    3 1 1 1
     46    1    4    4 1 1 1
     47    1    4    5 1 1 1
     48    1    4    6 1 1 1
     49    1    4    7 1 1 1
     50    1    4    8 1 1 1
     51    1    4    9 1 1 1
     52    1    4   10 1 1 1
     53    1    4   11 1 1 1
     54    1    4   12 1 1 1
     55    1    4   13 1 1 1
     56    1    4   14 1 1 1
     57    1    5    1 1 1 1
     58    1    5    2 1 1 1
     59    1    5    3 1 1 1
     60    1    5    4 1 1 1
     61    1    5    5 1 1 1
     62    1    5    6 1 1 1
     63    1    5    7 1 1 1
     64    1    5    8 1 1 1
     65    1    5    9 1 1 1
     66    1    5   10 1 1 1
     67    1    5   11 1 1 1
     68    1    5   12 1 1 1
     69    1    5   13 1 1 1
     70    1    5   14 1 1 1
     71    1    6    1 1 1 1
     72    1    6    2 1 1 1
     73    1    6    3 1 1 1
     74    1    6    4 1 1 1
     75    1    6    5 1 1 1
     76    1    6    6 1 1 1
     77    1    6    7 1 1 1
     78    1    6    8 1 1 1
     79    1    6    9 1 1 1
     80    1    6   10 1 1 1
     81    1    6   11 1 1 1
     82    1    6   12 1 1 1
     83    1    6   13 1 1 1
     84    1    6   14 1 1 1
     85    1    7    1 1 1 1
     86    1    7    2 1 1 1
     87    1    7    3 1 1 1
     88    1    7    4 1 1 1
     89    1    7    5 1 1 1
     90    1    7    6 1 1 1
     91    1    7    7 1 1 1
     92    1    7    8 1 1 1
     93    1    7    9 1 1 1
     94    1    7   10 1 1 1
     95    1    7   11 1 1 1
     96    1    7   12 1 1 1
     97    1    7   13 1 1 1
     98    1    7   14 1 1 1
     99    1    8    1 1 1 1
    100    1    8    2 1 1 1
    101    1    8    3 1 1 1
    102    1    8    4 1 1 1
    103    1    8    5 1 1 1
    104    1    8    6 1 1 1
    105    1    8    7 1 1 1
    106    1    8    8 1 1 1
    107    1    8    9 1 1 1
    108    1    8   10 1 1 1
    109    1    8   11 1 1 1
    110    1    8   12 1 1 1
    111    1    8   13 1 1 1
    112    1    8   14 1 1 1
    113    1    9    1 1 1 1
    114    1    9    2 1 1 1
    115    1    9    3 1 1 1
    116    1    9    4 1 1 1
    117    1    9    5 1 1 1
    118    1    9    6 1 1 1
    119    1    9    7 1 1 1
    120    1    9    8 1 1 1
    121    1    9    9 1 1 1
    122    1    9   10 1 1 1
    123    1    9   11 1 1 1
    124    1    9   12 1 1 1
    125    1    9   13 1 1 1
    126    1    9   14 1 1 1
    127    1   10    1 1 1 1
    128    1   10    2 1 1 1
    129    1   10    3 1 1 1
    130    1   10    4 1 1 1
    131    1   10    5 1 1 1
    132    1   10    6 1 1 1
    133    1   10    7 1 1 1
    134    1   10    8 1 1 1
    135    1   10    9 1 1 1
    136    1   10   10 1 1 1
    137    1   10   11 1 1 1
    138    1   10   12 1 1 1
    139    1   10   13 1 1 1
    140    1   10   14 1 1 1
    141    1   11    1 1 1 1
    142    1   11    2 1 1 1
    143    1   11    3 1 1 1
    144    1   11    4 1 1 1
    145    1   11    5 1 1 1
    146    1   11    6 1 1 1
    147    1   11    7 1 1 1
    148    1   11    8 1 1 1
    149    1   11    9 1 1 1
    150    1   11   10 1 1 1
    151    1   11   11 1 1 1
    152    1   11   12 1 1 1
    153    1   11   13 1 1 1
    154    1   11   14 1 1 1
    155    1   12    1 1 1 1
    156    1   12    2 1 1 1
    157    1   12    3 1 1 1
    158    1   12    4 1 1 1
    159    1   12    5 1 1 1
    160    1   12    6 1 1 1
    161    1   12    7 1 1 1
    162    1   12    8 1 1 1
    163    1   12    9 1 1 1
    164    1   12   10 1 1 1
    165    1   12   11 1 1 1
    166    1   12   12 1 1 1
    167    1   12   13 1 1 1
    168    1   12   14 1 1 1
    169    1   13    1 1 1 1
    170    1   13    2 1 1 1
    171    1   13    3 1 1 1
    172    1   13    4 1 1 1
    173    1   13    5 1 1 1
    174    1   13    6 1 1 1
    175    1   13    7 1 1 1
    176    1   13    8 1 1 1
    177    1   13    9 1 1 1
    178    1   13   10 1 1 1
    179    1   13   11 1 1 1
    180    1   13   12 1 1 1
    181    1   13   13 1 1 1
    182    1   13   14 1 1 1
    183    2    1    1 1 1 1
    184    2    1    2 1 1 1
    185    2    1    3 1 1 1
    186    2    1    4 1 1 1
    187    2    1    5 1 1 1
    188    2    1    6 1 1 1
    189    2    1    7 1 1 1
    190    2    1    8 1 1 1
    191    2    1    9 1 1 1
    192    2    1   10 1 1 1
    193    2    1   11 1 1 1
    194    2    1   12 1 1 1
    195    2    1   13 1 1 1
    196    2    1   14 1 1 1
    197    2    2    1 1 1 1
    198    2    2    2 1 1 1
    199    2    2    3 1 1 1
    200    2    2    4 1 1 1
    201    2    2    5 1 1 1
    202    2    2    6 1 1 1
    203    2    2    7 1 1 1
    204    2    2    8 1 1 1
    205    2    2    9 1 1 1
    206    2    2   10 1 1 1
    207    2    2   11 1 1 1
    208    2    2   12 1 1 1
    209    2    2   13 1 1 1
    210    2    2   14 1 1 1
    211    2    3    1 1 1 1
    212    2    3    2 1 1 1
    213    2    3    3 1 1 1
    214    2    3    4 1 1 1
    215    2    3    5 1 1 1
    216    2    3    6 1 1 1
    217    2    3    7 1 1 1
    218    2    3    8 1 1 1
    219    2    3    9 1 1 1
    220    2    3   10 1 1 1
    221    2    3   11 1 1 1
    222    2    3   12 1 1 1
    223    2    3   13 1 1 1
    224    2    3   14 1 1 1
    225    2    4    1 1 1 1
    226    2    4    2 1 1 1
    227    2    4    3 1 1 1
    228    2    4    4 1 1 1
    229    2    4    5 1 1 1
    230    2    4    6 1 1 1
    231    2    4    7 1 1 1
    232    2    4    8 1 1 1
    233    2    4    9 1 1 1
    234    2    4   10 1 1 1
    235    2    4   11 1 1 1
    236    2    4   12 1 1 1
    237    2    4   13 1 1 1
    238    2    4   14 1 1 1
    239    2    5    1 1 1 1
    240    2    5    2 1 1 1
    241    2    5    3 1 1 1
    242    2    5    4 1 1 1
    243    2    5    5 1 1 1
    244    2    5    6 1 1 1
    245    2    5    7 1 1 1
    246    2    5    8 1 1 1
    247    2    5    9 1 1 1
    248    2    5   10 1 1 1
    249    2    5   11 1 1 1
    250    2    5   12 1 1 1
    251    2    5   13 1 1 1
    252    2    5   14 1 1 1
    253    2    6    1 1 1 1
    254    2    6    2 1 1 1
    255    2    6    3 1 1 1
    256    2    6    4 1 1 1
    257    2    6    5 1 1 1
    258    2    6    6 1 1 1
    259    2    6    7 1 1 1
    260    2    6    8 1 1 1
    261    2    6    9 1 1 1
    262    2    6   10 1 1 1
    263    2    6   11 1 1 1
    264    2    6   12 1 1 1
    265    2    6   13 1 1 1
    266    2    6   14 1 1 1
    267    2    7    1 1 1 1
    268    2    7    2 1 1 1
    269    2    7    3 1 1 1
    270    2    7    4 1 1 1
    271    2    7    5 1 1 1
    272    2    7    6 1 1 1
    273    2    7    7 1 1 1
    274    2    7    8 1 1 1
    275    2    7    9 1 1 1
    276    2    7   10 1 1 1
    277    2    7   11 1 1 1
    278    2    7   12 1 1 1
    279    2    7   13 1 1 1
    280    2    7   14 1 1 1
    281    2    8    1 1 1 1
    282    2    8    2 1 1 1
    283    2    8    3 1 1 1
    284    2    8    4 1 1 1
    285    2    8    5 1 1 1
    286    2    8    6 1 1 1
    287    2    8    7 1 1 1
    288    2    8    8 1 1 1
    289    2    8    9 1 1 1
    290    2    8   10 1 1 1
    291    2    8   11 1 1 1
    292    2    8   12 1 1 1
    293    2    8   13 1 1 1
    294    2    8   14 1 1 1
    295    2    9    1 1 1 1
    296    2    9    2 1 1 1
    297    2    9    3 1 1 1
    298    2    9    4 1 1 1
    299    2    9    5 1 1 1
    300    2    9    6 1 1 1
    301    2    9    7 1 1 1
    302    2    9    8 1 1 1
    303    2    9    9 1 1 1
    304    2    9   10 1 1 1
    305    2    9   11 1 1 1
    306    2    9   12 1 1 1
    307    2    9   13 1 1 1
    308    2    9   14 1 1 1
    309    2   10    1 1 1 1
    310    2   10    2 1 1 1
    311    2   10    3 1 1 1
    312    2   10    4 1 1 1
    313    2   10    5 1 1 1
    314    2   10    6 1 1 1
    315    2   10    7 1 1 1
    316    2   10    8 1 1 1
    317    2   10    9 1 1 1
    318    2   10   10 1 1 1
    319    2   10   11 1 1 1
    320    2   10   12 1 1 1
    321    2   10   13 1 1 1
    322    2   10   14 1 1 1
    323    2   11    1 1 1 1
    324    2   11    2 1 1 1
    325    2   11    3 1 1 1
    326    2   11    4 1 1 1
    327    2   11    5 1 1 1
    328    2   11    6 1 1 1
    329    2   11    7 1 1 1
    330    2   11    8 1 1 1
    331    2   11    9 1 1 1
