>GEOMETRY   sphere; AX,AY,AZ= 0.3728 0.3728 0.3728
     24403 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -0.00000 -0.00000 -0.00000 = lattice offset x0(1-3) = (x_TF, y_TF, z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
     1  1  19  19 1 1 1
     2  2  14  16 1 1 1
     3  2  14  17 1 1 1
     4  2  14  18 1 1 1
     5  2  14  19 1 1 1
     6  2  14  20 1 1 1
     7  2  14  21 1 1 1
     8  2  14  22 1 1 1
     9  2  15  15 1 1 1
     10  2  15  16 1 1 1
     11  2  15  17 1 1 1
     12  2  15  18 1 1 1
     13  2  15  19 1 1 1
     14  2  15  20 1 1 1
     15  2  15  21 1 1 1
     16  2  15  22 1 1 1
     17  2  15  23 1 1 1
     18  2  16  14 1 1 1
     19  2  16  15 1 1 1
     20  2  16  16 1 1 1
     21  2  16  17 1 1 1
     22  2  16  18 1 1 1
     23  2  16  19 1 1 1
     24  2  16  20 1 1 1
     25  2  16  21 1 1 1
     26  2  16  22 1 1 1
     27  2  16  23 1 1 1
     28  2  16  24 1 1 1
     29  2  17  14 1 1 1
     30  2  17  15 1 1 1
     31  2  17  16 1 1 1
     32  2  17  17 1 1 1
     33  2  17  18 1 1 1
     34  2  17  19 1 1 1
     35  2  17  20 1 1 1
     36  2  17  21 1 1 1
     37  2  17  22 1 1 1
     38  2  17  23 1 1 1
     39  2  17  24 1 1 1
     40  2  18  14 1 1 1
     41  2  18  15 1 1 1
     42  2  18  16 1 1 1
     43  2  18  17 1 1 1
     44  2  18  18 1 1 1
     45  2  18  19 1 1 1
     46  2  18  20 1 1 1
     47  2  18  21 1 1 1
     48  2  18  22 1 1 1
     49  2  18  23 1 1 1
     50  2  18  24 1 1 1
     51  2  19  14 1 1 1
     52  2  19  15 1 1 1
     53  2  19  16 1 1 1
     54  2  19  17 1 1 1
     55  2  19  18 1 1 1
     56  2  19  19 1 1 1
     57  2  19  20 1 1 1
     58  2  19  21 1 1 1
     59  2  19  22 1 1 1
     60  2  19  23 1 1 1
     61  2  19  24 1 1 1
     62  2  20  14 1 1 1
     63  2  20  15 1 1 1
     64  2  20  16 1 1 1
     65  2  20  17 1 1 1
     66  2  20  18 1 1 1
     67  2  20  19 1 1 1
     68  2  20  20 1 1 1
     69  2  20  21 1 1 1
     70  2  20  22 1 1 1
     71  2  20  23 1 1 1
     72  2  20  24 1 1 1
     73  2  21  14 1 1 1
     74  2  21  15 1 1 1
     75  2  21  16 1 1 1
     76  2  21  17 1 1 1
     77  2  21  18 1 1 1
     78  2  21  19 1 1 1
     79  2  21  20 1 1 1
     80  2  21  21 1 1 1
     81  2  21  22 1 1 1
     82  2  21  23 1 1 1
     83  2  21  24 1 1 1
     84  2  22  14 1 1 1
     85  2  22  15 1 1 1
     86  2  22  16 1 1 1
     87  2  22  17 1 1 1
     88  2  22  18 1 1 1
     89  2  22  19 1 1 1
     90  2  22  20 1 1 1
     91  2  22  21 1 1 1
     92  2  22  22 1 1 1
     93  2  22  23 1 1 1
     94  2  22  24 1 1 1
     95  2  23  15 1 1 1
     96  2  23  16 1 1 1
     97  2  23  17 1 1 1
     98  2  23  18 1 1 1
     99  2  23  19 1 1 1
     100  2  23  20 1 1 1
     101  2  23  21 1 1 1
     102  2  23  22 1 1 1
     103  2  23  23 1 1 1
     104  2  24  16 1 1 1
     105  2  24  17 1 1 1
     106  2  24  18 1 1 1
     107  2  24  19 1 1 1
     108  2  24  20 1 1 1
     109  2  24  21 1 1 1
     110  2  24  22 1 1 1
     111  3  11  17 1 1 1
     112  3  11  18 1 1 1
     113  3  11  19 1 1 1
     114  3  11  20 1 1 1
     115  3  11  21 1 1 1
     116  3  12  15 1 1 1
     117  3  12  16 1 1 1
     118  3  12  17 1 1 1
     119  3  12  18 1 1 1
     120  3  12  19 1 1 1
     121  3  12  20 1 1 1
     122  3  12  21 1 1 1
     123  3  12  22 1 1 1
     124  3  12  23 1 1 1
     125  3  13  14 1 1 1
     126  3  13  15 1 1 1
     127  3  13  16 1 1 1
     128  3  13  17 1 1 1
     129  3  13  18 1 1 1
     130  3  13  19 1 1 1
     131  3  13  20 1 1 1
     132  3  13  21 1 1 1
     133  3  13  22 1 1 1
     134  3  13  23 1 1 1
     135  3  13  24 1 1 1
     136  3  14  13 1 1 1
     137  3  14  14 1 1 1
     138  3  14  15 1 1 1
     139  3  14  16 1 1 1
     140  3  14  17 1 1 1
     141  3  14  18 1 1 1
     142  3  14  19 1 1 1
     143  3  14  20 1 1 1
     144  3  14  21 1 1 1
     145  3  14  22 1 1 1
     146  3  14  23 1 1 1
     147  3  14  24 1 1 1
     148  3  14  25 1 1 1
     149  3  15  12 1 1 1
     150  3  15  13 1 1 1
     151  3  15  14 1 1 1
     152  3  15  15 1 1 1
     153  3  15  16 1 1 1
     154  3  15  17 1 1 1
     155  3  15  18 1 1 1
     156  3  15  19 1 1 1
     157  3  15  20 1 1 1
     158  3  15  21 1 1 1
     159  3  15  22 1 1 1
     160  3  15  23 1 1 1
     161  3  15  24 1 1 1
     162  3  15  25 1 1 1
     163  3  15  26 1 1 1
     164  3  16  12 1 1 1
     165  3  16  13 1 1 1
     166  3  16  14 1 1 1
     167  3  16  15 1 1 1
     168  3  16  16 1 1 1
     169  3  16  17 1 1 1
     170  3  16  18 1 1 1
     171  3  16  19 1 1 1
     172  3  16  20 1 1 1
     173  3  16  21 1 1 1
     174  3  16  22 1 1 1
     175  3  16  23 1 1 1
     176  3  16  24 1 1 1
     177  3  16  25 1 1 1
     178  3  16  26 1 1 1
     179  3  17  11 1 1 1
     180  3  17  12 1 1 1
     181  3  17  13 1 1 1
     182  3  17  14 1 1 1
     183  3  17  15 1 1 1
     184  3  17  16 1 1 1
     185  3  17  17 1 1 1
     186  3  17  18 1 1 1
     187  3  17  19 1 1 1
     188  3  17  20 1 1 1
     189  3  17  21 1 1 1
     190  3  17  22 1 1 1
     191  3  17  23 1 1 1
     192  3  17  24 1 1 1
     193  3  17  25 1 1 1
     194  3  17  26 1 1 1
     195  3  17  27 1 1 1
     196  3  18  11 1 1 1
     197  3  18  12 1 1 1
     198  3  18  13 1 1 1
     199  3  18  14 1 1 1
     200  3  18  15 1 1 1
     201  3  18  16 1 1 1
     202  3  18  17 1 1 1
     203  3  18  18 1 1 1
     204  3  18  19 1 1 1
     205  3  18  20 1 1 1
     206  3  18  21 1 1 1
     207  3  18  22 1 1 1
     208  3  18  23 1 1 1
     209  3  18  24 1 1 1
     210  3  18  25 1 1 1
     211  3  18  26 1 1 1
     212  3  18  27 1 1 1
     213  3  19  11 1 1 1
     214  3  19  12 1 1 1
     215  3  19  13 1 1 1
     216  3  19  14 1 1 1
     217  3  19  15 1 1 1
     218  3  19  16 1 1 1
     219  3  19  17 1 1 1
     220  3  19  18 1 1 1
     221  3  19  19 1 1 1
     222  3  19  20 1 1 1
     223  3  19  21 1 1 1
     224  3  19  22 1 1 1
     225  3  19  23 1 1 1
     226  3  19  24 1 1 1
     227  3  19  25 1 1 1
