 >REASHP: option FROM_FILE
      3071 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.00000  -0.00000  -0.00000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
      1    1   10   10 1 1 1
      2    2    6    9 1 1 1
      3    2    6   10 1 1 1
      4    2    6   11 1 1 1
      5    2    7    8 1 1 1
      6    2    7    9 1 1 1
      7    2    7   10 1 1 1
      8    2    7   11 1 1 1
      9    2    7   12 1 1 1
     10    2    8    7 1 1 1
     11    2    8    8 1 1 1
     12    2    8    9 1 1 1
     13    2    8   10 1 1 1
     14    2    8   11 1 1 1
     15    2    8   12 1 1 1
     16    2    8   14 1 1 1
     17    2    9    6 1 1 1
     18    2    9    7 1 1 1
     19    2    9    8 1 1 1
     20    2    9    9 1 1 1
     21    2    9   10 1 1 1
     22    2    9   11 1 1 1
     23    2    9   12 1 1 1
     24    2    9   14 1 1 1
     25    2    9   15 1 1 1
     26    2   10    6 1 1 1
     27    2   10    7 1 1 1
     28    2   10    8 1 1 1
     29    2   10    9 1 1 1
     30    2   10   10 1 1 1
     31    2   10   11 1 1 1
     32    2   10   12 1 1 1
     33    2   10   14 1 1 1
     34    2   10   15 1 1 1
     35    2   11    6 1 1 1
     36    2   11    7 1 1 1
     37    2   11    8 1 1 1
     38    2   11    9 1 1 1
     39    2   11   10 1 1 1
     40    2   11   11 1 1 1
     41    2   11   12 1 1 1
     42    2   11   14 1 1 1
     43    2   11   15 1 1 1
     44    2   12    7 1 1 1
     45    2   12    8 1 1 1
     46    2   12    9 1 1 1
     47    2   12   10 1 1 1
     48    2   12   11 1 1 1
     49    2   12   12 1 1 1
     50    2   12   14 1 1 1
     51    2   14    8 1 1 1
     52    2   14    9 1 1 1
     53    2   14   10 1 1 1
     54    2   14   11 1 1 1
     55    2   14   12 1 1 1
     56    2   15    9 1 1 1
     57    2   15   10 1 1 1
     58    2   15   11 1 1 1
     59    3    5    8 1 1 1
     60    3    5    9 1 1 1
     61    3    5   10 1 1 1
     62    3    5   11 1 1 1
     63    3    5   12 1 1 1
     64    3    6    6 1 1 1
     65    3    6    7 1 1 1
     66    3    6    8 1 1 1
     67    3    6    9 1 1 1
     68    3    6   10 1 1 1
     69    3    6   11 1 1 1
     70    3    6   12 1 1 1
     71    3    6   14 1 1 1
     72    3    6   15 1 1 1
     73    3    7    6 1 1 1
     74    3    7    7 1 1 1
     75    3    7    8 1 1 1
     76    3    7    9 1 1 1
     77    3    7   10 1 1 1
